step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
284,28052,284,1.275928751577982,0.0,0.573170731707317,,,
285,28117,285,1.2126450999488587,0.0,0.6037735849056604,,,
286,28230,286,1.5490472684798857,0.0,0.41975308641975306,,,
287,28287,287,1.3714211207941946,0.0,0.6046511627906976,,,
288,28344,288,0.9042433226363001,0.0,0.675,,,
289,28441,289,1.4682710952239388,0.0,0.6329113924050633,1.8028305881244797,0.0,0.4716981132075472
290,28594,290,1.828226112255058,0.0,0.5507246376811594,,,
291,28827,291,1.1262155673194352,0.0,0.6572769953051644,,,
292,28988,292,1.4924439600480788,0.0,0.5918367346938775,,,
293,29077,293,1.3776743982094228,0.0,0.4868421052631579,,,
294,29158,294,1.087733235973854,0.0,0.6891891891891891,,,
295,29263,295,1.4024722421061313,0.0,0.5714285714285714,,,
296,29392,296,1.8187875330787682,0.0,0.4789915966386555,,,
297,29473,297,1.54150694918033,0.0,0.5428571428571428,1.68585443704253,0.0,0.5116279069767442
298,29546,298,1.7399922618927748,0.0,0.5483870967741935,,,
299,29603,299,1.1766283061572875,0.0,0.5,,,
300,29756,300,1.4869976712482056,0.0,0.5774647887323944,,,
301,29917,301,1.325158061231196,0.0,0.625,,,
302,30094,302,1.8854651290000368,0.0,0.46706586826347307,,,
303,30351,303,1.40262439244715,0.0,0.6359832635983264,,,
304,30400,304,0.762861370015127,0.0,0.6296296296296297,,,
305,30473,305,0.9126604273977126,0.0,0.6842105263157895,2.764626663084613,0.0,0.3764705882352941
306,30506,306,0.4768921157035493,0.0,0.8571428571428571,,,
307,30547,307,0.9162857749026152,0.0,0.47368421052631576,,,
308,30700,308,1.3941751907751232,0.0,0.5912408759124088,,,
309,30837,309,0.7227067782103234,0.0,0.7815126050420168,,,
310,30982,310,1.5866777664409728,0.0,0.5294117647058824,,,
311,31071,311,1.138072650705701,0.0,0.6712328767123288,,,
312,31224,312,1.8542998463031393,0.0,0.547945205479452,,,
313,31305,313,1.3803799243531323,0.0,0.5,2.2252256035963156,0.0,0.358974358974359
314,31434,314,1.3128846190849686,0.0,0.6146788990825688,,,
315,31475,315,0.7154620457333659,0.0,0.8461538461538461,,,
316,31652,316,1.6160887581134424,0.0,0.5757575757575758,,,
317,31685,317,0.32521224981963315,0.0,0.8571428571428571,,,
318,31750,318,1.5842174430242015,0.0,0.6140350877192983,,,
319,31799,319,0.7983040636380125,0.0,0.71875,,,
320,31840,320,1.2542177558167606,0.0,0.5172413793103449,,,
321,31873,321,1.2762190430783085,0.0,0.45,1.4830193016094695,0.0,0.40384615384615385
322,32082,322,1.4071070268774677,0.0,0.6410256410256411,,,
323,32203,323,1.955742758918806,0.0,0.5370370370370371,,,
324,32268,324,2.0252882183426664,0.0,0.37735849056603776,,,
325,32325,325,0.5194730970206356,0.0,0.7560975609756098,,,
326,32406,326,1.1413181418706793,0.0,0.7101449275362319,,,
327,32463,327,1.7126209823174037,0.0,0.41025641025641024,,,
328,32544,328,1.0408349037099252,0.0,0.6865671641791045,,,
329,32609,329,0.8916396128424093,0.0,0.65,2.402551750672249,0.0,0.4430379746835443
330,32690,330,1.1322057773715515,0.0,0.647887323943662,,,
331,32819,331,0.9603465312847428,0.0,0.7155963302752294,,,
332,32892,332,1.1521916182497967,0.0,0.6,,,
333,32965,333,1.1856119754338346,0.0,0.6111111111111112,,,
334,33046,334,1.3397137720245846,0.0,0.6190476190476191,,,
335,33159,335,1.5351799686550436,0.0,0.5319148936170213,,,
336,33256,336,1.6026512820475176,0.0,0.5294117647058824,,,
337,33345,337,1.546191626643317,0.0,0.5897435897435898,1.0083840261151393,0.0,0.0
338,33506,338,1.1423435850365131,0.0,0.7086092715231788,,,
339,33635,339,1.504434538774758,0.0,0.5689655172413793,,,
340,33732,340,1.4064175610933358,0.0,0.5903614457831325,,,
341,33805,341,1.2435878091738608,0.0,0.5918367346938775,,,
342,33854,342,0.5891880377520162,0.0,0.75,,,
343,33927,343,0.676959405162382,0.0,0.7592592592592593,,,
344,33992,344,0.6159675625198318,0.0,0.6829268292682927,,,
